Date,Cases
1/22/2020,1
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,3
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,2
2/01/2020,1
2/02/2020,0
2/03/2020,3
2/04/2020,0
2/05/2020,0
2/06/2020,0
2/07/2020,0
2/08/2020,0
2/09/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,0
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,2
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,1
2/28/2020,0
2/29/2020,8
3/01/2020,6
3/02/2020,23
3/03/2020,25
3/04/2020,20
3/05/2020,66
3/06/2020,47
3/07/2020,64
3/08/2020,147
3/09/2020,225
3/10/2020,290
3/11/2020,278
3/12/2020,414
3/13/2020,267
3/14/2020,338
3/15/2020,1237
3/16/2020,755
3/17/2020,2797
3/18/2020,3419
3/19/2020,4777
3/20/2020,3528
3/21/2020,5836
3/22/2020,8821
3/23/2020,10934
3/24/2020,10115
3/25/2020,13987
3/26/2020,16916
3/27/2020,17965
3/28/2020,19332
3/29/2020,18251
3/30/2020,22635
3/31/2020,22562
4/01/2020,27043
4/02/2020,26135
4/03/2020,18819
4/04/2020,9338
4/05/2020,63455
4/06/2020,43438
4/07/2020,34347
4/08/2020,31534
4/09/2020,31705
4/10/2020,33251
4/11/2020,33288
4/12/2020,29145
4/13/2020,24157
4/14/2020,26385
4/15/2020,27259
4/16/2020,29164
4/17/2020,29002
4/18/2020,29916
4/19/2020,26008
4/20/2020,29468
4/21/2020,26527
4/22/2020,25868
4/23/2020,37144
4/24/2020,30226
4/25/2020,33119
4/26/2020,28586
4/27/2020,23459
