Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,"849,245.50","-8,358.70",-0.97%,"1,305,714"
20-Apr,"857,604.20","186,570.90",27.80%,"1,305,714"
20-Mar,"671,033.30","127,054.10",23.36%,"1,145,972"
20-Feb,"543,979.20","42,783.20",8.54%,"916,996"
20-Jan,"501,196.00","44,494.40",9.74%,"817,229"
19-Dec,"456,701.60","30,620.80",7.19%,"767,060"
19-Nov,"426,080.80","17,085.50",4.18%,"758,412"
19-Oct,"408,995.30","-1,930.30",-0.47%,"747,937"
19-Sep,"410,925.60","-4,171.70",-1.00%,"720,052"
19-Aug,"415,097.30","21,314.50",5.41%,"647,461"
19-Jul,"393,782.80","4,406.10",1.13%,"578,933"
19-Jun,"389,376.70","24,959.40",6.85%,"587,724"
19-May,"364,417.30","12,427.40",3.53%,"588,453"
19-Apr,"351,989.90","-38,250.20",-9.80%,"621,614"
19-Mar,"390,240.20","18,881.20",5.08%,"680,071"
19-Feb,"371,359.00","-30,007.90",-7.48%,"654,069"
19-Jan,"401,366.90","5,857.60",1.48%,"684,511"
