Month,Avg. concur. viewers,Avg. concur. channels,Time watched,Active streamers
2019-01-01,1276009,55794,949138028 hrs,4537807.0
2019-02-01,1311802,56286,880000508 hrs,4205001.0
2019-03-01,1273772,54934,947049482 hrs,4389867.0
2019-04-01,1234112,51261,888560640 hrs,4184467.0
2019-05-01,1262560,48294,939344640 hrs,3933404.0
2019-06-01,1304579,47898,939296880 hrs,3396947.0
2019-07-01,1232340,48045,916860960 hrs,3355426.0
2019-08-01,1342559,48434,998863896 hrs,3188759.0
2019-09-01,1219579,46184,878096880 hrs,2942889.0
2019-10-01,1211344,45179,901239936 hrs,2973666.0
2019-11-01,1222247,45644,880017840 hrs,3198707.0
2019-12-01,1183198,45554,880299312 hrs,3353608.0
2020-01-01,1357375,52821,1009887000 hrs,3935308.0
2020-02-01,1410516,53816,981719136 hrs,3753539.0
2020-03-01,1637064,65976,1217975616 hrs,5080031.0
2020-04-01,2486264,93618,1790110080 hrs,7213644.0
2020-05-01,2537276,103763,610214878 hrs,
